ts,icao,lat,lon,alt,gs,trk,roc,callsign
1742314585.7068868,A433D1,42.41029357910156,-71.16412769664419,4875,253,207.2736200991848,0,
1742314585.7068968,04021D,42.29284771418167,-71.05209705441496,35000,554,52.69605172201657,0,
1742314563.3129487,A2941C,42.275390625,-71.048022183505,1800,122,17.54900222906777,-704,KAP627__
1742314563.3129487,A2941C,42.275390625,-71.048022183505,1800,122,17.54900222906777,-704,KAP627__
1742314584.0688908,A29931,42.16520147808527,-71.1018549009811,2800,148,19.290046219188735,-64,
1742314585.1611066,A29184,42.37211608886719,-71.195463700728,7425,193,168.05024277850615,-384,
1742314585.706933,A29184,42.3717041015625,-71.1951515891335,7425,193,168.05024277850615,-384,
1742314584.0688908,A29931,42.16520147808527,-71.1018549009811,2800,148,19.290046219188735,-64,
1742314585.7068868,A433D1,42.41029357910156,-71.16412769664419,4875,253,207.2736200991848,0,
1742314585.706933,A29184,42.3717041015625,-71.1951515891335,7425,193,168.05024277850615,-384,
1742314585.706933,A29184,42.3717041015625,-71.1951515891335,7425,193,168.05024277850615,-384,
1742314585.7068868,A433D1,42.41029357910156,-71.16412769664419,4875,253,207.2736200991848,0,
1742314585.7068868,A433D1,42.41029357910156,-71.16412769664419,4875,253,207.2736200991848,0,
1742314585.7068968,04021D,42.29284771418167,-71.05209705441496,35000,554,52.69605172201657,0,
1742314585.1610572,A0566A,42.450714111328125,-70.70270191539419,28000,413,246.1642091028458,-64,
1742314584.0688908,A29931,42.16520147808527,-71.1018549009811,2800,148,19.290046219188735,-64,
1742314585.7068968,04021D,42.29284771418167,-71.05209705441496,35000,554,52.69605172201657,0,
1742314585.7068968,04021D,42.29284771418167,-71.05209705441496,35000,554,52.69605172201657,0,
1742314585.7068868,A433D1,42.41029357910156,-71.16412769664419,4875,253,207.2736200991848,0,
1742314585.706933,A29184,42.3717041015625,-71.1951515891335,7425,193,168.05024277850615,-384,
1742314574.7824783,A2F434,42.131378173828125,-71.34945956143468,9900,236,179.51445416999186,64,
1742314585.706933,A29184,42.3717041015625,-71.1951515891335,7425,193,168.05024277850615,-384,
1742314585.706933,A29184,42.3717041015625,-71.1951515891335,7425,193,168.05024277850615,-384,
1742314585.706933,A29184,42.3717041015625,-71.1951515891335,7425,193,168.05024277850615,-384,
